published_at,date,title,summary,relevance_score,finbert_confidence,finbert_sentiment_score,source_system,cross_source_key,quality,weight,weighted_sentiment,positive_weight,negative_weight
2015-01-01T18:30:02,2015-01-01T00:00:00,"‘A little punk, a little jazz, a little shoegaze’: meet the new blues","From the spirituals of the deep south to the White Stripes, it’s a music that has constantly reimagined itself. But is anyone really ready for EDM blues?  Laura Barton  reports",0.7000000000000001,0.921380877494812,0.0,GUARDIAN,b0c4005425d6d0adba986ad0,0.6449666142463685,0.6449666142463685,0.0,0.0,0.0
2015-01-02T09:30:55,2015-01-02T00:00:00,Sony hackers may still have access to computer systems,News report says investigators are unable to confirm eradication of those responsible for cyber-attack linked to The Interview,0.75,0.9484583139419556,-0.9484583139419556,GUARDIAN,43ed6dfead473aeb702b5d27,0.7113437354564667,0.7113437354564667,-0.6746798799642129,0.0,0.7113437354564667
2015-01-02T11:00:59,2015-01-02T00:00:00,Today's media stories from the papers,"Our roundup of the day's media stories, including the latest on Peter Greste retrial and Sony hackers may still have access to computers",0.7000000000000001,0.9210962653160096,0.0,GUARDIAN,c2ad7776daa1096b17697097,0.6447673857212068,0.6447673857212068,0.0,0.0,0.0
2015-01-02T16:03:35,2015-01-02T00:00:00,A Tory-Labour unity coalition may be the only way forward after 7 May,Ian Birrell:  The two parties have more in common with each other than with the insurgents. A national government would prevent a constitutional crisis,0.7000000000000001,0.7115162014961243,0.0,GUARDIAN,a6e2a7e2628833712769f5a8,0.49806134104728705,0.49806134104728705,0.0,0.0,0.0
2015-01-02T23:01:00,2015-01-02T00:00:00,"Streaming: the future of the music industry, or its nightmare?","Apple and Google are muscling in on streaming as revenues rise, but not everyone is happy",0.75,0.8627341985702515,0.0,GUARDIAN,f7a6e5665d1d572876e6ba94,0.6470506489276886,0.6470506489276886,0.0,0.0,0.0
2015-01-03T08:30:13,2015-01-03T00:00:00,How I gave up heels,"Jess Cartner-Morley:  My 11-year-old son told me, “That skirt looks really weird with those shoes”’",0.7000000000000001,0.7825969457626343,0.0,GUARDIAN,aa8911547d25b1d3f4461046,0.5478178620338441,0.5478178620338441,0.0,0.0,0.0
2015-01-03T12:00:17,2015-01-03T00:00:00,"Ben Lerner: ‘People say, “Oh, here’s another Brooklyn novel by a guy with glasses”’","The poet and novelist, whose new book 10:04 is just published, talks about art, octopuses, and new ways of writing about families and politics. By  Emily Witt",0.7000000000000001,0.8966057300567627,0.0,GUARDIAN,868447e3b4049fbff1fb56ab,0.627624011039734,0.627624011039734,0.0,0.0,0.0
2015-01-03T17:56:14,2015-01-03T00:00:00,"Republicans address jobs, veterans and healthcare as Congress reconvenes","GOP wants to be seen as restoring unity as it signals the economy, not dismantling Obamacare, is its first order of business",0.7000000000000001,0.6655606627464294,0.6655606627464294,GUARDIAN,e310a1d92e4d09604badbf37,0.46589246392250067,0.46589246392250067,0.31007969705682653,0.46589246392250067,0.0
2015-01-04T04:05:11,2015-01-04T00:00:00,"Seven years ago, Wall Street was the villain. Now it gets to call the shots","Joel Kotkin:  After the crisis, there was hope of constraining big finance. Now its sway, even stronger, extends to writing policy",0.7625000000000001,0.8107354044914246,0.0,GUARDIAN,06de3da059305fd508f83a74,0.6181857459247113,0.6181857459247113,0.0,0.0,0.0
2015-01-04T11:44:22,2015-01-04T00:00:00,Jeffrey Epstein: the rise and fall of teacher turned tycoon,Investment banker maintained impressive list of powerful contacts before downfall,0.7000000000000001,0.8741044998168945,0.0,GUARDIAN,8fbef62820da217b5f83c9ce,0.6118731498718263,0.6118731498718263,0.0,0.0,0.0
